product_name,author,price,other_conditions,url,page
ايفون 13 رامات 4 جيجابايت 128 جيجابايت أسود,FM store,"32,000",ضمان دولي 12 شهر,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-%D8%AC%D8%AF%D9%8A%D8%AF-vn013703,1
ايفون 13 رامات 4 جيجابايت 256 جيجابايت أزرق,FM store,"27,285",75%,https://mobilemasr.com/products/show/%D8%A7%D9%8A%D9%81%D9%88%D9%86-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-4-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu012939,1
وان بلس 13 رامات 16 جيجابايت 512 جيجابايت اسود فانتوم,Hatly,"49,920",ضمان دولي 12 شهر,https://mobilemasr.com/products/show/%D9%88%D8%A7%D9%86-%D8%A8%D9%84%D8%B3-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-16-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-512-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A7%D8%B3%D9%88%D8%AF-%D9%81%D8%A7%D9%86%D8%AA%D9%88%D9%85-%D8%AC%D8%AF%D9%8A%D8%AF-vn016429,2
اوبو Reno 13 رامات 12 جيجابايت 256 جيجابايت أزرق (Luminous B...,Nashwan Store,"24,750",very good,https://mobilemasr.com/products/show/%D8%A7%D9%88%D8%A8%D9%88-reno-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-12-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-(luminous-blue)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016276,2
شاومي Redmi Note 13 Pro Plus رامات 16 جيجابايت 512 جيجابايت ...,Orange Mobile,"20,865",very good,https://mobilemasr.com/products/show/%D8%B4%D8%A7%D9%88%D9%85%D9%8A-redmi-note-13-pro-plus-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-16-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-512-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B2%D8%B1%D9%82-%D9%81%D8%A7%D8%AA%D8%AD-(midday-dream)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016189,2
شاومي 13 Ultra (Chinese version) رامات 16 جيجابايت 512 جيجاب...,El Hawakmy,"31,200",very good,https://mobilemasr.com/products/show/%D8%B4%D8%A7%D9%88%D9%85%D9%8A-13-ultra-(chinese-version)-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-16-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-512-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%A8%D9%8A%D8%B6-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu015939,2
اوبو Reno 13 رامات 12 جيجابايت 256 جيجابايت أبيض (Plume Whit...,Harmony1,"22,000",very good,https://mobilemasr.com/products/show/%D8%A7%D9%88%D8%A8%D9%88-reno-13-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-12-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%A8%D9%8A%D8%B6-(plume-white)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu015546,2
هواوي nova 13 pro رامات 12 جيجابايت 512 جيجابايت أسود,Harmony+,"26,160",ضمان محلي 12 شهر,https://mobilemasr.com/products/show/%D9%87%D9%88%D8%A7%D9%88%D9%8A-nova-13-pro-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-12-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-512-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-%D8%AC%D8%AF%D9%8A%D8%AF-vn014999,2
شاومي Redmi 13C رامات 8 جيجابايت 256 جيجابايت اخضر فانتوم,El akhwa,"6,760",ضمان محلي 12 شهر,https://mobilemasr.com/products/show/%D8%B4%D8%A7%D9%88%D9%85%D9%8A-redmi-13c-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-8-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A7%D8%AE%D8%B6%D8%B1-%D9%81%D8%A7%D9%86%D8%AA%D9%88%D9%85-%D8%AC%D8%AF%D9%8A%D8%AF-vn011257,2
شاومي Poco X6 Pro رامات 8 جيجابايت 256 جيجابايت أسود,Harmony+,"13,000",very good,https://mobilemasr.com/products/show/%D8%B4%D8%A7%D9%88%D9%85%D9%8A-poco-x6-pro-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-8-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%B3%D9%88%D8%AF-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016595,2
شاومي Redmi Note 14 Pro 4G رامات 8 جيجابايت 256 جيجابايت ذهب...,Harmony1,"13,100",very good,https://mobilemasr.com/products/show/%D8%B4%D8%A7%D9%88%D9%85%D9%8A-redmi-note-14-pro-4g-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-8-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%B0%D9%87%D8%A8%D9%8A-(sandy-gold)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016576,2
فيفو V50 Lite 5G رامات 12 جيجابايت 256 جيجابايت ذهبي,Nashwan Store,"13,780",very good,https://mobilemasr.com/products/show/%D9%81%D9%8A%D9%81%D9%88-v50-lite-5g-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-12-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-256-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%B0%D9%87%D8%A8%D9%8A-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu016277,2
سامسونج Galaxy M55 رامات 8 جيجابايت 128 جيجابايت أخضر فاتح (...,Orange Mobile,"13,775",very good,https://mobilemasr.com/products/show/%D8%B3%D8%A7%D9%85%D8%B3%D9%88%D9%86%D8%AC-galaxy-m55-%D8%B1%D8%A7%D9%85%D8%A7%D8%AA-8-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-128-%D8%AC%D9%8A%D8%AC%D8%A7%D8%A8%D8%A7%D9%8A%D8%AA-%D8%A3%D8%AE%D8%B6%D8%B1-%D9%81%D8%A7%D8%AA%D8%AD-(light-green)-%D9%85%D9%85%D8%AA%D8%A7%D8%B2-vu013699,2
