name,description,price,location,url,page
iphone 13,iphone 13,"EGP 25,000
Negotiable","Moharam Bik, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206204647.html,3
iphone 13,IPHONE 13 NEW,"EGP 32,000","Shubra, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-new-ID206204609.html,3
iphone 13,iPhone 13,"EGP 23,000","Arbaeen, Suez•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206203974.html,3
iphone 13,iphone 13,"EGP 26,500","Badrasheen, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206203775.html,3
iphone 13,iphone 13pro,Not Available,"Dar Misr, 10th of Ramadan•",https://www.dubizzle.com.eg/en/ad/iphone-13pro-ID206203297.html,3
iphone 13,iphone 13 ايفون ١٣,"EGP 27,000
Negotiable","Porto Heliopolis Compound, Heliopolis•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A3-ID206203168.html,3
iphone 13,iphone 13,"EGP 23,000","Damietta City, Damietta•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206203077.html,3
iphone 13,iPhone 13 pro max,"EGP 35,000","Haram, Giza•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206202939.html,3
iphone 13,iphone 13 Pro 256GB,"EGP 36,000","Mokattam, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-256gb-ID206202916.html,3
iphone 13,IPHONE 13,"EGP 26,000","Zamalek, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206202820.html,3
iphone 13,iPhone 13,"EGP 27,000
Negotiable","Smoha, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206202346.html,3
iphone 13,brand new iphone 13,"EGP 32,000","1st Settlement, New Cairo•",https://www.dubizzle.com.eg/en/ad/brand-new-iphone-13-ID206201861.html,3
iphone 13,New iPhone 13 لقطه,"EGP 28,000","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/new-iphone-13-%D9%84%D9%82%D8%B7%D9%87-ID206201783.html,3
iphone 13,New iPhone 13 Blue treadline,"EGP 30,000
Negotiable","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/new-iphone-13-blue-treadline-ID206201766.html,3
iphone 13,iPhone 13 pro max,"EGP 35,000
Negotiable","Gesr Al Suez, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-max-ID206201733.html,3
iphone 13,iPhone 13 – جديد متبرشم – 128,"EGP 32,000","Hadayeq El Zeitoun, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-%D8%AC%D8%AF%D9%8A%D8%AF-%D9%85%D8%AA%D8%A8%D8%B1%D8%B4%D9%85-128-ID206201298.html,3
iphone 13,iPhone 13,"EGP 19,000","Hadayek El Maadi, Maadi•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206201256.html,3
iphone 13,iPhone 13,"EGP 20,500","Borg al-Arab, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206200542.html,3
iphone 13,iphone 13 pro 256gb ايفون ١٣ برو,"EGP 31,000
Negotiable","Smoha, Alexandria•",https://www.dubizzle.com.eg/en/ad/iphone-13-pro-256gb-%D8%A7%D9%8A%D9%81%D9%88%D9%86-%D9%A1%D9%A3-%D8%A8%D8%B1%D9%88-ID206200361.html,3
iphone 13,iphone13 mini,"EGP 21,000","Hadayek al-Kobba, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone13-mini-ID206200229.html,3
iphone 13,Iphone 13 - 256 GB,"EGP 24,000","Heliopolis, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-256-gb-ID206200019.html,3
iphone 13,Iphone 13,"EGP 23,000","Almazah, Cairo•",https://www.dubizzle.com.eg/en/ad/iphone-13-ID206199783.html,3
